2025-08-11 18:05:25.527 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.adrelevance.engine.ContextAnalyzer - Context analysis completed for conversation fashion_conv_001: mood=POSITIVE, intents=[]
2025-08-11 18:05:25.528 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.engine.AdMatchingEngine - Found 1 relevant ads for conversation fashion_conv_001
2025-08-11 18:05:25.528 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Generated ad suggestion for conversation fashion_conv_001: Summer Collection (score: 1.0)
2025-08-11 18:05:25.531 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Processing ad response for conversation fashion_conv_001: That looks interesting! Tell me more.
2025-08-11 18:05:25.532 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.engine.AdMatchingEngine - Found 1 relevant ads for conversation fashion_conv_001
2025-08-11 18:05:26.565 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Processing message for conversation tech_conv_001: I need a new smartphone
2025-08-11 18:05:26.571 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.engine.ConversationManager - Created new conversation context: tech_conv_001
2025-08-11 18:05:26.572 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.adrelevance.engine.ContextAnalyzer - Context analysis completed for conversation tech_conv_001: mood=NEUTRAL, intents=[technology]
2025-08-11 18:05:26.573 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.engine.AdMatchingEngine - Found 1 relevant ads for conversation tech_conv_001
2025-08-11 18:05:26.573 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Generated ad suggestion for conversation tech_conv_001: Latest Smartphone (score: 0.5700000000000001)
2025-08-11 18:05:27.578 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Processing message for conversation tech_conv_001: I'm researching the latest features
2025-08-11 18:06:19.941 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.engine.AdMatchingEngine - Initialized ad inventory with 6 ads
2025-08-11 18:06:19.953 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.engine.ConversationManager - Created new user state: demo_user_001
2025-08-11 18:06:19.954 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Updated user preferences for user demo_user_001: interests=[technology, fashion, travel, food], blocked=[gambling, alcohol]
2025-08-11 18:06:19.956 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Processing message for conversation fashion_conv_001: I'm looking for some new summer clothes
2025-08-11 18:06:19.965 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.engine.ConversationManager - Created new conversation context: fashion_conv_001
2025-08-11 18:06:19.974 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.adrelevance.engine.ContextAnalyzer - Context analysis completed for conversation fashion_conv_001: mood=POSITIVE, intents=[]
2025-08-11 18:06:19.977 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.engine.AdMatchingEngine - Found 1 relevant ads for conversation fashion_conv_001
2025-08-11 18:06:19.978 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Generated ad suggestion for conversation fashion_conv_001: Summer Collection (score: 0.6300000000000001)
2025-08-11 18:06:20.985 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Processing message for conversation fashion_conv_001: I love trendy styles and bright colors
2025-08-11 18:06:20.989 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.adrelevance.engine.ContextAnalyzer - Context analysis completed for conversation fashion_conv_001: mood=POSITIVE, intents=[]
2025-08-11 18:06:20.990 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.engine.AdMatchingEngine - Found 1 relevant ads for conversation fashion_conv_001
2025-08-11 18:06:20.991 [com.adrelevance.demo.ConversationalAdDemo.main()] INFO  c.a.e.ConversationalAdRelevanceEngine - Generated ad suggestion for conversation fashion_conv_001: Summer Collection (score: 0.9900000000000001)
